OBJECTID,YEAR_,STATE,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,CAUSE,C_METHOD,OBJECTIVE,GIS_ACRES,COMMENTS,COMPLEX_NAME,IRWINID,FIRE_NUM,COMPLEX_ID,DECADES,Shape__Area,Shape__Length
564,2022,CA,NPS,YNP,RED,56,2022/08/04 00:00:00+00,2022/11/06 00:00:00+00,1,3,2,8432.419,,,{1E643C3B-3BE4-4669-892B-CF82B46FA820},,,2020,54552181.01,125075.9173
565,2022,CA,NPS,YNP,RODGERS,58,2022/08/08 00:00:00+00,2022/11/06 00:00:00+00,1,3,2,2839.684,,,{99B90DBC-6F1A-4494-B5C6-9CFDF335492A},,,2020,18516447.26,68655.68615
566,2022,CA,NPS,KNP,AVALANCHE,49,2022/07/18 00:00:00+00,2022/11/10 00:00:00+00,1,7,2,28.92503,,,{52D1B9EC-9479-48E6-AF4A-D1550E8A97CB},,,2020,182801.7852,1769.039533
567,2022,CA,NPS,KNP,SUMMIT,75,2022/08/03 00:00:00+00,2022/10/19 00:00:00+00,1,7,2,1394.44,,,{F3705FA2-72E3-4E2A-BBE0-EA04D37FAE54},,,2020,8711427.309,19421.35342
568,2022,CA,NPS,YNP,ASPEN,66,2022/09/04 00:00:00+00,2022/09/30 00:00:00+00,7,3,1,25.89259,,,{B8C14C30-8CC6-404E-A717-BB3992F07F71},,,2020,168280.9219,2220.347686
569,2022,CA,BIA,FYA,ALL AMERICAN,885,2022/07/05 00:00:00+00,2022/07/09 00:00:00+00,14,7,1,25.00471,,,{A3D2DCC4-4CB0-4470-9B2E-5F89DFB1DADA},,,2020,143667.2344,5321.6111
570,2022,CA,CDF,MVU,LONESTAR,15344,2022/07/13 00:00:00+00,2022/07/13 00:00:00+00,14,6,1,18.62858,,,{2F6B7281-2D10-45BA-B60A-D437A62BD3F7},,,2020,106465.8711,1370.495512
571,2022,CA,FWS,SJR,BECKWITH,644,2022/06/27 00:00:00+00,2022/07/02 00:00:00+00,14,4,1,274.1842,PR3J,,{B6B44AF7-90EA-4F9E-8416-DF4284D99BCF},,,2020,1775047.117,9225.810952
572,2022,CA,FWS,SJR,CA-WSF-22000274 GRAYSON,277,2022/04/10 00:00:00+00,2022/04/10 00:00:00+00,4,4,1,182.0349,PJ9M,,{8789DBA4-892D-4EF2-868B-E8504AE9137C},,,2020,1174468.09,7407.263058
573,2022,CA,FWS,SWR,SIXTY,9046,2022/07/30 00:00:00+00,2022/07/30 00:00:00+00,18,1,1,21.09291,PX4Y,,{712EEC8A-4E51-4043-97D1-71800666ABD4},,,2020,143312.8516,2580.42886
574,2022,CA,FWS,TNR,WILLOW 9,24582,2022/11/16 00:00:00+00,2022/11/17 00:00:00+00,15,4,1,8.228877,P4LB,,{BD99812A-AD57-4967-98B2-44886C95517A},,,2020,47217.61719,1167.502216
575,2022,CA,FWS,TNR,WILLOW 8,22623,2022/10/20 00:00:00+00,2022/10/20 00:00:00+00,14,1,1,1.318015,P3UY,,{40C9EB09-CFEC-4BE9-B6B8-515C1C39887B},,,2020,7560.441406,532.6159062
576,2022,CA,FWS,TNR,FURY,19599,2022/09/08 00:00:00+00,2022/09/08 00:00:00+00,14,1,1,1.715104,P118,,{DB83B00A-49A4-438F-8758-660B7BE72A03},,,2020,9838.046875,573.3598286
577,2022,CA,FWS,LUR,WOLFSEN,14883,2022/07/08 00:00:00+00,2022/07/08 00:00:00+00,10,4,1,25.11741,PT4A,,{AA4EFBE6-FC89-4458-998A-4BED4AEFA5F5},,,2020,160568.8867,2880.666589
578,2022,CA,FWS,SPR,POINT,13286,2022/07/27 00:00:00+00,2022/07/27 00:00:00+00,10,4,1,58.67502,PZ4S.,,{A9D9C877-BEAE-4FE9-9620-0E4926DA7440},,,2020,384496.4297,3468.328584
579,2022,CA,FWS,MCR,SANDY,20312,2022/09/09 00:00:00+00,2022/09/09 00:00:00+00,10,1,1,27.54214,P130.  ,,{D0F90D50-AFC1-447D-AA5F-11894760F7FB},,,2020,175909.3086,4353.809851
